date,cb_phrase,hawkish_phrases,dovish_phrases,total_words
1994-05-17,0.05405405405405406,3,1,37
1994-08-16,0.07692307692307693,3,0,39
1994-11-15,0.05405405405405406,3,1,37
1995-07-06,0.0,1,1,47
1995-12-19,0.0,1,1,40
1997-03-25,0.05263157894736842,2,0,38
1998-09-29,-0.021739130434782608,0,1,46
1998-10-15,-0.02127659574468085,0,1,47
1998-11-17,-0.02631578947368421,0,1,38
1999-06-30,0.0625,2,0,32
1999-08-24,0.05555555555555555,2,0,36
1999-11-16,0.03225806451612903,2,1,31
2000-02-02,0.0625,2,0,32
2000-03-21,0.0,1,1,30
2000-05-16,0.06896551724137931,2,0,29
2000-06-28,0.037037037037037035,1,0,27
2001-01-31,-0.023809523809523808,0,1,42
2001-03-20,-0.05128205128205128,0,2,39
2001-08-21,-0.03333333333333333,0,1,30
2001-09-17,-0.06060606060606061,0,2,33
2001-12-11,-0.03333333333333333,0,1,30
2003-01-29,-0.005747126436781609,0,1,174
2003-03-18,-0.004329004329004329,0,1,231
2003-06-25,-0.021739130434782608,0,1,46
2003-08-12,-0.013824884792626729,1,4,217
2003-09-16,-0.009302325581395349,2,4,215
2004-01-28,-0.014423076923076924,1,4,208
2004-03-16,-0.024154589371980676,0,5,207
2004-08-10,0.0,1,1,26
2004-09-21,-0.007017543859649123,2,4,285
2004-11-10,-0.0037593984962406013,2,3,266
2004-12-14,-0.02857142857142857,0,1,35
2005-02-02,-0.003703703703703704,2,3,270
2005-05-03,-0.006872852233676976,2,4,291
2005-08-09,-0.0035842293906810036,2,3,279
2005-09-20,-0.005571030640668524,3,5,359
2005-11-01,0.0,3,3,283
2005-12-13,0.0,1,1,38
2006-01-31,0.009259259259259259,4,2,216
2006-03-28,0.007194244604316547,4,2,278
2006-05-10,0.010101010101010102,6,3,297
2006-06-29,0.017543859649122806,7,2,285
2006-08-08,0.018518518518518517,6,2,216
2006-09-20,0.024390243902439025,6,1,205
2006-10-25,0.023923444976076555,6,1,209
2006-12-12,0.0228310502283105,6,1,219
2007-01-31,0.03468208092485549,6,0,173
2007-03-21,0.006172839506172839,1,0,162
2007-05-09,0.006211180124223602,1,0,161
2007-08-07,0.0,2,2,204
2007-08-17,-0.005405405405405406,0,1,185
2007-09-18,-0.007874015748031496,2,4,254
2007-10-31,-0.009966777408637873,2,5,301
2007-12-11,-0.017985611510791366,1,6,278
2008-01-29,-0.005847953216374269,0,1,171
2008-01-30,-0.012,1,4,250
2008-03-18,-0.013888888888888888,2,6,288
2008-04-30,-0.013157894736842105,1,5,304
2008-06-25,-0.008064516129032258,4,6,248
2008-08-05,-0.00823045267489712,2,4,243
2008-09-16,-0.013574660633484163,1,4,221
2008-10-28,-0.003968253968253968,0,1,252
2008-10-29,-0.017482517482517484,0,5,286
2008-12-16,-0.0033585222502099076,2,6,1191
2009-01-28,0.002109704641350211,2,1,474
2009-03-18,-0.018912529550827423,0,8,423
2009-04-29,-0.018648018648018648,0,8,429
2009-06-24,-0.01832460732984293,0,7,382
2009-08-12,-0.014150943396226415,0,6,424
2009-09-23,-0.018648018648018648,1,9,429
2009-11-03,-0.006993006993006993,0,1,143
2009-11-04,-0.014989293361884369,2,9,467
2009-12-15,-0.006993006993006993,0,1,143
2009-12-16,-0.01048951048951049,2,8,572
2010-01-27,-0.0054446460980036296,4,7,551
2010-03-16,-0.011210762331838564,2,7,446
2010-04-28,-0.00975609756097561,2,6,410
2010-06-23,-0.013888888888888888,2,7,360
2010-08-10,-0.008676789587852495,2,6,461
2010-09-21,-0.009345794392523364,2,6,428
2010-11-03,-0.008097165991902834,4,8,494
2010-12-14,-0.006085192697768763,4,7,493
2011-01-26,-0.00228310502283105,3,4,438
2011-03-15,0.0021551724137931034,4,3,464
2011-04-27,0.0,4,4,465
2011-06-22,-0.00437636761487965,2,4,457
2011-08-09,-0.007619047619047619,2,6,525
2011-09-20,-0.00641025641025641,0,1,156
2011-09-21,-0.005016722408026756,2,5,598
2011-11-02,-0.00408997955010225,2,4,489
2011-12-13,0.0,2,2,433
2012-01-25,-0.002369668246445498,1,2,422
2012-03-13,-0.009237875288683603,1,5,433
2012-04-25,-0.004524886877828055,1,3,442
2012-06-20,-0.007905138339920948,1,5,506
2012-08-01,-0.008676789587852495,1,5,461
2012-09-13,-0.021238938053097345,1,13,565
2012-10-24,-0.016304347826086956,1,10,552
2012-12-12,-0.008695652173913044,4,10,690
2013-01-30,-0.012326656394453005,5,13,649
2013-03-20,-0.010819165378670788,5,12,647
2013-05-01,-0.01337295690936107,5,14,673
2013-06-19,-0.014245014245014245,5,15,702
2013-07-31,-0.011363636363636364,6,14,704
2013-09-18,-0.008728179551122194,7,14,802
2013-10-30,-0.010256410256410256,6,14,780
2013-12-18,-0.007945516458569807,6,13,881
2014-01-29,-0.0070838252656434475,6,12,847
2014-03-18,-0.009345794392523364,0,1,107
2014-03-19,-0.008998875140607425,5,13,889
2014-04-30,-0.007290400972053463,5,11,823
2014-06-17,-0.009345794392523364,0,1,107
2014-06-18,-0.008641975308641974,5,12,810
2014-07-30,-0.009269988412514484,5,13,863
2014-09-17,-0.011025358324145534,5,15,907
2014-10-29,-0.012345679012345678,6,15,729
2014-12-17,-0.014945652173913044,7,18,736
2015-01-28,-0.012259194395796848,4,11,571
2015-03-18,-0.005119453924914676,6,9,586
2015-04-29,0.0017793594306049821,6,5,562
2015-06-17,0.0018281535648994515,6,5,547
2015-07-29,0.005545286506469501,8,5,541
2015-09-17,0.006779661016949152,10,6,590
2015-10-28,0.0068846815834767644,10,6,581
2015-12-16,0.0033333333333333335,8,6,600
2016-01-27,-0.0030959752321981426,5,10,1615
2016-03-16,-0.0018427518427518428,7,10,1628
2016-04-27,-0.001837109614206981,7,10,1633
2016-06-15,-0.0031308703819661866,5,10,1597
2016-07-27,-0.0030826140567200987,7,12,1622
2016-09-21,-0.0024096385542168677,7,11,1660
2016-11-02,-0.003022974607013301,7,12,1654
2016-12-14,-0.002512562814070352,7,11,1592
2017-02-01,-0.0038535645472061657,5,11,1557
2017-03-15,-0.0018999366687777073,8,11,1579
2017-05-03,-0.0031746031746031746,6,11,1575
2017-06-14,-0.0006215040397762585,7,8,1609
2017-07-26,-0.0019181585677749361,5,8,1564
2017-09-20,-0.0018844221105527637,5,8,1592
2017-11-01,-0.001910828025477707,5,8,1570
2017-12-13,-0.0006480881399870382,7,8,1543
2018-01-31,-0.0027063599458728013,5,9,1478
2018-03-21,-0.0013297872340425532,7,9,1504
2018-05-02,-0.0020297699594046007,5,8,1478
2018-06-13,-0.000725689404934688,7,8,1378
2018-08-01,-0.0021961932650073207,5,8,1366
2018-09-26,0.0,7,7,1348
2018-11-08,-0.0014695077149155032,5,7,1361
2018-12-19,0.0,7,7,1388
2019-01-30,-0.001444043321299639,6,8,1385
2019-03-20,-0.0021413276231263384,6,9,1401
2019-05-01,-0.0007262164124909223,6,7,1377
2019-06-19,-0.0014144271570014145,6,8,1414
2019-07-31,-0.0006844626967830253,6,7,1461
2019-09-18,-0.0013831258644536654,6,8,1446
2019-10-11,-0.005479452054794521,3,7,730
2019-10-30,-0.0007112375533428165,6,7,1406
2019-12-11,0.0,6,6,1369
2020-01-29,0.012618296529968454,4,0,317
2020-03-03,-0.004251700680272109,2,7,1176
2020-03-15,0.0016129032258064516,4,3,620
2020-03-23,-0.0055147058823529415,0,3,544
2020-04-29,-0.002027027027027027,5,8,1480
2020-06-10,-0.0026972353337828725,5,9,1483
2020-07-28,-0.0026455026455026454,0,1,378
2020-07-29,-0.0019946808510638296,5,8,1504
2020-09-16,0.0,2,2,323
2020-11-05,0.0,2,2,243
2020-12-16,-0.0038910505836575876,2,3,257
2021-01-27,-0.003816793893129771,2,3,262
2021-03-17,-0.003816793893129771,2,3,262
2021-04-28,-0.003816793893129771,2,3,262
2021-06-16,-0.003816793893129771,2,3,262
2021-07-28,-0.0035211267605633804,2,3,284
2021-09-22,-0.006779661016949152,2,4,295
2021-11-03,-0.00819672131147541,2,5,366
2021-12-15,-0.004433185560481318,4,11,1579
2022-01-26,-0.004672897196261682,2,3,214
2022-02-18,0.0,0,0,460
2022-03-16,0.0021337126600284497,10,7,1406
2022-05-04,0.0013917884481558804,9,7,1437
2022-06-15,0.0021037868162692847,10,7,1426
2022-07-27,0.0007293946024799417,8,7,1371
2022-09-21,0.0,8,8,1372
2022-11-02,0.0,9,9,1427
2022-12-14,0.0,9,9,1427
2023-02-01,-0.0021660649819494585,8,11,1385
2023-03-22,0.0007057163020465773,9,8,1417
2023-05-03,0.0021691973969631237,9,6,1383
2023-06-14,0.0007178750897343862,7,6,1393
2023-07-26,0.0021660649819494585,9,6,1385
2023-09-20,0.0007194244604316547,7,6,1390
2023-11-01,0.0007163323782234957,7,6,1396
2023-12-13,0.0,7,7,1407
2024-01-31,-0.0021645021645021645,5,8,1386
2024-03-20,-0.002173913043478261,5,8,1380
2024-05-01,-0.00205761316872428,5,8,1458
2024-06-12,-0.002152080344332855,5,8,1394
2024-07-31,-0.002834868887313962,4,8,1411
2024-09-18,-0.002840909090909091,4,8,1408
2024-11-07,-0.00291970802919708,4,8,1370
2024-12-18,-0.002863278453829635,4,8,1397
2025-01-29,-0.0014727540500736377,4,6,1358
2025-03-19,-0.0028228652081863093,4,8,1417
2025-05-07,-0.002911208151382824,4,8,1374
2025-06-18,-0.0022271714922048997,4,7,1347
2025-07-30,-0.002904865649963689,4,8,1377
2025-09-17,-0.003604902667627974,4,9,1387
2025-10-29,0.005076142131979695,2,1,197
2025-12-10,-0.0034770514603616135,4,9,1438
2026-01-28,-0.002976190476190476,4,8,1344
2026-03-18,-0.0029455081001472753,4,8,1358
