date,lm_pct,sentiment_category,policy_rate_change
1994-05-17,0.0000,Neutral,
1994-08-16,0.7937,Neutral,
1994-11-15,0.0000,Neutral,
1995-02-01,0.0000,Neutral,
1995-07-06,2.8571,Neutral,
1995-12-19,0.0000,Neutral,
1996-01-31,5.2632,Dovish,
1996-12-17,8.2949,Dovish,
1997-01-09,0.9709,Neutral,
1997-03-25,10.8280,Dovish,
1997-07-02,10.0000,Dovish,
1997-09-30,4.8096,Dovish,
1997-11-12,5.8376,Dovish,
1998-09-29,1.1628,Neutral,
1998-10-15,0.0000,Neutral,
1998-11-17,-1.2346,Hawkish,
1998-11-18,0.0000,Neutral,
1998-11-19,0.0000,Neutral,
1999-05-18,16.7630,Dovish,
1999-06-30,15.0838,Dovish,
1999-08-24,9.8712,Dovish,
1999-10-05,0.8475,Neutral,
1999-11-16,1.2270,Neutral,
1999-11-17,0.0000,Neutral,
1999-11-18,-0.5935,Hawkish,
1999-12-21,8.1871,Dovish,
2000-02-02,1.8692,Neutral,
2000-03-21,1.3636,Neutral,
2000-05-16,2.3364,Neutral,
2000-06-28,5.4054,Dovish,
2000-08-22,5.8511,Dovish,
2000-10-10,2.4070,Neutral,
2000-12-19,11.4943,Dovish,
2001-01-31,1.4440,Neutral,
2001-03-20,-1.5686,Hawkish,
2001-05-15,4.3165,Dovish,
2001-06-27,1.3216,Neutral,
2001-08-21,0.8929,Neutral,
2001-09-17,4.5833,Dovish,
2001-11-06,2.5641,Neutral,
2001-12-11,4.6512,Dovish,
2002-01-30,11.2583,Dovish,
2002-03-19,8.7591,Dovish,
2003-01-29,8.5106,Dovish,
2003-03-18,9.3878,Dovish,
2003-06-25,5.4140,Dovish,
2003-08-12,7.7922,Dovish,
2003-09-16,6.5789,Dovish,
2004-01-28,8.5973,Dovish,
2004-03-16,7.2727,Dovish,
2004-08-10,5.0157,Dovish,
2004-09-21,4.3333,Dovish,
2004-11-10,3.9007,Dovish,
2004-12-14,4.4379,Dovish,
2005-02-02,3.4722,Neutral,
2005-05-03,6.1489,Dovish,
2005-08-09,4.3771,Dovish,
2005-09-20,6.0686,Dovish,
2005-11-01,6.0606,Dovish,
2005-12-13,6.1475,Dovish,
2006-01-31,3.0195,Neutral,
2006-03-28,2.7397,Neutral,
2006-05-10,2.7119,Neutral,
2006-08-08,2.8881,Neutral,
2006-10-25,3.0576,Neutral,
2006-12-12,3.0357,Neutral,
2007-05-09,3.5647,Dovish,
2007-08-07,3.6101,Dovish,
2007-09-18,3.5461,Dovish,
2007-12-11,2.9982,Neutral,
2008-01-29,3.5785,Dovish,
2008-03-18,3.6332,Dovish,
2008-04-30,3.1142,Neutral,
2008-06-25,3.3868,Neutral,
2008-10-28,3.0476,Neutral,
2008-12-16,3.6437,Dovish,
2009-01-28,3.0400,Neutral,
2009-04-29,3.0894,Neutral,
2009-08-12,3.2310,Neutral,
2009-09-23,3.3981,Neutral,
2009-11-03,3.6437,Dovish,
2009-12-15,3.6437,Dovish,
2010-03-16,3.3708,Neutral,
2010-06-23,3.6244,Dovish,
2010-08-10,3.4700,Neutral,
2010-09-21,3.7217,Dovish,
2010-11-03,3.4215,Neutral,
2010-12-14,3.5994,Dovish,
2011-01-26,3.6800,Dovish,
2011-03-15,3.0645,Neutral,
2011-04-27,3.0744,Neutral,
2011-06-22,3.4700,Neutral,
2011-08-09,3.6810,Dovish,
2011-09-20,3.6072,Dovish,
2011-09-21,3.4277,Neutral,
2011-11-02,3.4375,Neutral,
2011-12-13,3.2310,Neutral,
2012-01-25,3.6007,Dovish,
2012-03-13,3.2310,Neutral,
2012-04-25,3.1898,Neutral,
2012-06-20,3.3794,Neutral,
2012-08-01,3.6450,Dovish,
2012-09-13,3.3333,Neutral,
2012-10-24,3.1963,Neutral,
2012-12-12,2.7417,Neutral,
2013-01-30,2.6549,Neutral,
2013-03-20,2.9718,Neutral,
2013-05-01,2.6786,Neutral,
2013-06-19,2.6667,Neutral,
2013-07-31,2.6432,Neutral,
2013-09-18,2.9745,Neutral,
2013-10-30,2.8249,Neutral,
2013-12-18,2.9619,Neutral,
2014-01-29,2.9915,Neutral,
2014-03-18,3.7500,Dovish,
2014-03-19,3.3195,Neutral,
2014-04-30,3.1161,Neutral,
2014-06-17,3.7500,Dovish,
2014-06-18,2.8531,Neutral,
2014-07-30,2.8289,Neutral,
2014-09-17,2.8129,Neutral,
2014-10-29,2.7941,Neutral,
2014-12-17,3.2401,Neutral,
2015-01-28,3.0769,Neutral,
2015-03-18,3.2357,Neutral,
2015-04-29,2.9186,Neutral,
2015-06-17,2.6235,Neutral,
2015-07-29,2.6480,Neutral,
2015-09-17,2.7565,Neutral,
2015-10-28,2.7735,Neutral,
2015-12-16,2.7439,Neutral,
2016-01-27,2.9366,Neutral,
2016-03-16,2.6194,Neutral,
2016-04-27,2.7356,Neutral,
2016-06-15,3.0769,Neutral,
2016-07-27,2.7735,Neutral,
2016-09-21,2.7273,Neutral,
2016-11-02,2.7314,Neutral,
2016-12-14,2.7864,Neutral,
2017-02-01,3.0207,Neutral,
2017-03-15,2.6856,Neutral,
2017-05-03,2.7994,Neutral,
2017-06-14,2.6316,Neutral,
2017-07-26,2.6941,Neutral,
2017-09-20,2.9052,Neutral,
2017-11-01,2.9734,Neutral,
2017-12-13,2.7113,Neutral,
2018-01-31,2.8053,Neutral,
2018-03-21,2.7869,Neutral,
2018-05-02,2.8053,Neutral,
2018-06-13,2.9310,Neutral,
2018-08-01,2.9565,Neutral,
2018-09-26,2.9772,Neutral,
2018-11-08,2.9514,Neutral,
2018-12-19,2.9060,Neutral,
2019-01-30,2.8814,Neutral,
2019-03-20,3.2149,Neutral,
2019-05-01,3.1034,Neutral,
2019-06-19,2.8523,Neutral,
2019-07-31,3.0151,Neutral,
2019-09-18,3.0612,Neutral,
2019-10-11,2.9173,Neutral,
2019-10-30,3.0664,Neutral,
2019-12-11,3.1142,Neutral,
2020-01-29,3.4602,Neutral,
2020-03-03,3.5088,Dovish,
2020-03-15,3.2787,Neutral,
2020-03-23,3.0547,Neutral,
2020-04-29,3.5948,Dovish,
2020-06-10,3.5831,Dovish,
2020-07-28,3.4221,Neutral,
2020-07-29,3.3762,Neutral,
2020-09-16,3.6392,Dovish,
2020-11-05,3.5427,Dovish,
2020-12-16,3.5313,Dovish,
2021-01-27,3.6450,Dovish,
2021-03-17,3.5032,Dovish,
2021-04-28,3.5088,Dovish,
2021-06-16,3.5313,Dovish,
2021-07-28,3.5088,Dovish,
2021-09-22,3.4591,Neutral,
2021-11-03,3.3846,Neutral,
2021-12-15,3.4865,Neutral,
2022-01-26,3.5714,Dovish,
2022-02-18,3.4653,Neutral,
2022-03-16,3.7037,Dovish,
2022-05-04,3.8079,Dovish,
2022-06-15,3.6184,Dovish,
2022-07-27,3.5533,Dovish,
2022-09-21,3.5473,Dovish,
2022-11-02,3.7705,Dovish,
2022-12-14,3.7767,Dovish,
2023-02-01,3.8721,Dovish,
2023-03-22,3.8397,Dovish,
2023-05-03,3.7543,Dovish,
2023-06-14,3.7288,Dovish,
2023-07-26,3.7543,Dovish,
2023-09-20,3.8917,Dovish,
2023-11-01,3.7162,Dovish,
2023-12-13,3.8526,Dovish,
2024-01-31,3.7162,Dovish,
2024-03-20,3.7415,Dovish,
2024-05-01,3.9801,Dovish,
2024-06-12,3.7288,Dovish,
2024-07-31,3.6789,Dovish,
2024-09-18,3.7162,Dovish,
2024-11-07,3.6082,Dovish,
2024-12-18,3.5654,Dovish,
2025-01-29,3.6522,Dovish,
2025-03-19,3.7288,Dovish,
2025-05-07,3.5959,Dovish,
2025-06-18,3.6458,Dovish,
2025-07-30,3.7736,Dovish,
2025-09-17,3.9249,Dovish,
2025-10-29,4.0336,Dovish,
2025-12-10,3.8079,Dovish,
